"PlotObservationID","cover","Longitude","Latitude"
"JZ37",80,9.93798012118514,44.3246366917264
"FR49",65,11.0928699802707,43.915462858651
"PT45",60,11.653392506927,43.0910384978747
"ZH63",100,10.5330139182232,43.7389653417793
"TF93",75,10.4023940348703,44.239783002872
"KG68",90,10.4020341268579,44.2408655537141
"QJ27",95,10.4063479472331,44.2412978469517
"JN90",85,10.4060210285773,44.242964422291
"ZM18",80,10.6607088061915,44.1273409227021
"BQ20",80,10.6588958983236,44.1245606435958
"WA69",80,10.6605245198394,44.1260536304747
"XS50",95,10.6532274603189,44.1172609578728
"QZ52",90,10.6563531291287,44.1197114919729
"RS48",90,10.6404984812008,44.1130936655131
"AN57",90,10.640816854098,44.1140543522551
"BE71",80,10.6642633031999,44.1296867861119
"UT89",90,10.6660506733401,44.1296669517797
"VG30",100,10.7378208513886,44.1508839800515
"JW66",100,10.736879895184,44.1553877255987
"MJ41",100,10.7364661924669,44.148367045633
"WH80",100,10.701240638045,44.1546772229802
"NF37",100,10.8444892416695,44.1073379881816
"BL76",90,10.8413331946281,44.1023944284034
"TV90",100,10.8420670648056,44.0993881649867
"SQ15",100,10.7953790768255,44.1145628645871
"QZ49",100,10.7949225971135,44.1157430832084
"FQ93",100,10.8003954728925,44.1138630537858
"ZA68",100,10.7855590601795,44.1245526822482
"IX83",100,10.7830851739299,44.1258201787542
"ZK58",100,10.7993501654152,44.1159717559374
"GW56",90,10.8411245897147,44.1027831177644
"CA81",98,10.787480945649,44.1249927204226
"KD15",95,10.7950657648652,44.1165560746146
"UD91",95,10.8477046436406,44.0901322626256
"CX45",95,10.8519494544045,44.0906675150191
"GB31",95,10.8525654215567,44.0895389799975
"OF19",100,11.2320494556342,43.8490124547503
"LF51",95,11.2237958537261,43.9011294957314
"NJ33",95,11.2260226901735,43.9010816723057
"CK54",90,11.2533001508774,43.8357620285527
"OR48",100,10.4946305167192,42.9487417033849
"EQ56",100,10.4951002580884,42.9431923115916
"IS69",100,10.4955482340491,42.9425828649956
"JC83",90,11.9753523409392,43.7154546885879
"XP78",95,11.0367381176611,44.0728584580607
"MX25",95,10.5235439945283,43.7653024982417
"MY83",95,10.536927649165,43.755574404757
"NX43",100,10.5449741707326,43.7471364375432
"XE11",80,11.6193995649059,42.6711194480015
"DF11",95,11.5085883265195,42.6788090561191
"JP48",85,11.1574742273604,42.4306977073691
"MF17",80,11.1547835343623,42.4333329442801
"SA50",100,11.1144752570026,42.4083010573782
"IE22",70,11.688073678876,43.0219150547708
"UC40",75,11.6887109736925,43.0218669379162
"DR59",80,10.895060068879,42.3750316207784
"BF83",95,11.0232798376998,43.8600924476902
"KJ39",90,10.6623979609371,44.116803124955
"DD98",80,10.6619107162765,44.1171897423803
"AM30",90,10.6664789962228,44.1357415128575
"IF62",95,11.8894801121072,43.7901206018146
"ZX20",100,11.7900745122264,43.8147325525653
"KU72",100,11.810324554267,43.7806291329119
"EC75",90,10.3993550903358,44.2258024994525
"SR19",95,10.3839193374006,44.1950470035307
"SX34",65,10.3808682593615,44.1998816173841
"QL13",91,10.3810515409993,44.2006225043357
"OB88",70,10.3817504264878,44.1989491788069
"BS15",94,10.3877375225525,44.1910287158901
"VX64",93,10.3917590425761,44.1954369580185
"HY57",60,10.3922775848012,44.1943857837291
"BK34",98,10.3908382029791,44.1949442871947
"MO47",95,10.3926358157976,44.1946691735656
"JK45",90,10.392592100683,44.193322084277
"QI21",70,10.1888147415089,42.7725629365629
"PK58",60,10.1384541156612,42.7634580051566
"OY37",80,10.1685997418722,42.771211712772
"IJ46",75,10.0811696245759,42.5715200405643
"IV29",90,10.2865617053888,43.6881513163808
"RK56",100,10.2872506764871,43.6918832392944
"KG84",80,10.2690957601615,43.7831975744608
"QX85",100,10.3518720430111,43.8360044419259
"RY81",70,10.2867776214648,43.6395162992668
"SD89",80,10.2932376986124,43.5977827019108
"NU56",90,10.3123522407322,44.0324953947267
"EK88",65,10.314101422778,44.0301468063094
"KZ72",90,10.3212948598296,44.0354644290064
"MW25",75,10.3129205007234,44.0296921904197
"ZS46",95,10.3122919269867,44.0341719284874
"GF55",80,10.3132784463499,44.03532838619
"PG63",90,10.312603804849,44.0372499680658
"YH59",100,9.80949872655854,43.0396165217489
"BY42",85,11.1531707774059,43.9146377471596
"YW28",80,11.5171505974495,42.8002331009516
"KM19",90,11.6876905152952,42.778345839459
"GT42",90,11.6797423689696,42.771919449831
"WM57",85,11.6807355084499,42.7725164206972
"WL58",90,11.6859022800116,42.7766094505609
"IG85",90,10.6829599903797,44.1363464221998
"TF90",90,10.6689425004784,44.1404162710865
"IY53",95,10.6859005898969,44.120164913559
"TD52",100,10.6577864166998,44.11147747297
"DT51",85,10.6702283653252,44.1115125509949
"GM59",85,10.6666369153593,44.1158249251125
"NX70",95,10.7126032401462,44.0909607871695
"KW76",95,10.7019760463638,44.1031091502431
"YL40",95,10.702622545597,44.1026860847413
"YB18",95,10.7095885541719,44.0930212348147
"HU32",95,10.6939546097165,44.1065089777288
"OL48",95,10.7144418339338,44.09021363548
"CL91",95,11.8335075943327,43.8049504791203
"GR90",100,11.8656852464578,43.804656649405
"JU72",95,12.0867718020896,43.6852174757504
"FA71",90,12.0896279461317,43.6843180807947
"NZ16",60,11.3905403667682,42.8043915024158
"UF70",60,11.2742300171485,42.7792848392913
"PN36",80,10.754690443434,43.0127530219915
"KW77",80,10.7552392732409,43.0137088624718
"JH97",90,10.7521412302279,43.0152065205334
"EE37",100,10.7280473635528,43.0473499110874
"MG76",70,10.7740180854895,42.965287548848
"ZL89",85,10.3095725018768,42.3248318642464
"GB12",75,10.2927273500289,42.3323140723515
"VG68",100,10.300857246612,42.3380269948
"VU15",100,10.3105154848077,42.3378764669768
"IK24",100,10.2997521414995,42.3481208003042
"AE28",100,10.2991918285211,42.3485314157098
"XJ49",95,10.882926962942,43.9634284977259
"RC51",100,11.0024659878934,44.1372509389749
"JH35",100,11.0014279346837,44.1367859812624
"VL22",95,11.0017970092785,44.1365179642282
"VV29",90,11.0015712684072,44.1356871317228
"DS96",100,10.7800368720058,44.1267578696015
"SB81",100,10.7772121884314,44.1309891907297
"QH46",100,10.7926552654934,44.1214639450018
"JU84",100,10.7681038252605,44.1308642265176
"IM64",95,10.7879250753791,44.1207675220128
"KM11",100,10.7753693935944,44.1332438932614
"OP46",95,10.6613993210563,44.1321852668352
"RO82",90,10.8398552748479,44.0855282882277
"HD42",90,10.6646680091701,44.1317103317711
"ZX92",95,10.6660004598884,44.1325269361911
"RU21",95,10.6636932378935,44.1329869094238
"DK44",90,10.7092427850951,44.1243478967014
"OF90",90,10.8390386006394,44.0826145728156
"EA79",100,11.4562763558533,42.4906180763157
"LM27",100,11.3806258878826,42.7137555759683
"GK61",80,10.8598337450913,42.7657849516001
"FV31",70,10.8662734695625,42.7641875870698
"DU33",60,10.8301251783543,42.7714635427723
"NE78",80,11.7151285466266,42.5818987988489
"QZ84",80,11.7118961904179,42.5673576516789
"DZ74",90,11.5565021910014,43.7016595839784
"UL29",100,11.9196924917376,43.6595637598279
"TQ93",100,11.9069849748725,43.6425222133235
"KD45",100,11.4047753733839,43.5978105182473
"QE18",70,10.3873944084737,44.2423280561719
"WT62",80,10.3851119142512,44.247261076355
"RQ20",85,10.3855640781205,44.2464173531856
"JN17",95,10.3857996290055,44.2458268535745
"WP14",95,10.3855671707303,44.2477106232556
"VI38",100,10.3914996043471,44.2452419652992
"SG59",100,10.3832660400829,44.2382837606141
"PM79",100,10.3846860740246,44.2380833888324
"GO83",90,10.3837003079579,44.2372865901494
"XX35",85,10.3853329523914,44.2378691711678
"HI82",90,10.387547131066,44.237489858774
"ZQ20",95,10.386168923197,44.2376896575373
"YM15",100,10.3870171199636,44.2385115531166
"KR85",98,10.3886484714012,44.2382684740814
"DO92",90,10.3869012893475,44.2367179036695
"GZ65",95,10.3873462179142,44.2377084342102
"NO40",100,10.4229510147549,43.697230571871
"XI71",95,11.5026173863112,42.6907960217225
"DQ28",80,11.2905797521697,42.854493291068
"IR86",65,11.2921156883341,42.8555872894026
"MN39",75,11.8035196027722,42.7989376195293
"RT56",70,10.9225721784595,43.1220874840297
"NR60",90,10.9219173146326,43.1215998076231
"IZ47",60,11.5864691994644,43.2842272007376
"KF39",95,11.0394350427067,43.8907028250001
"BK70",95,11.0362149990973,43.8897496903318
"BR64",70,10.9832893761411,43.808612932481
"HC70",95,10.983949102349,43.8086731025945
"BW43",80,11.0350905816356,43.7901594933842
